-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2020 
Location: Latitude  33.8272   Longitude 102.137 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 3706.74 meters
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
GWETPROF        MERRA-2 Profile Soil Moisture (1) 
T2M_RANGE       MERRA-2 Temperature at 2 Meters Range (C) 
WS2M_RANGE      MERRA-2 Wind Speed at 2 Meters Range (m/s) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
QV2M,1981,1.77,2.14,2.81,3.85,5.0,8.0,9.89,9.64,6.47,4.58,2.5,1.71,4.88
QV2M,1982,1.77,1.95,2.87,3.17,4.82,6.35,8.12,7.08,6.59,4.03,2.26,1.34,4.21
QV2M,1983,1.16,1.16,2.08,2.69,4.7,6.29,8.42,6.47,5.8,4.76,2.2,1.46,3.97
QV2M,1984,1.28,1.65,1.95,3.11,4.27,6.29,8.12,6.47,5.8,4.09,2.26,1.53,3.91
QV2M,1985,1.28,1.28,2.26,2.44,4.64,6.16,6.84,8.18,6.29,4.27,1.83,1.4,3.91
QV2M,1986,1.22,1.46,2.2,3.11,4.88,6.96,7.26,6.47,5.19,3.42,2.2,1.65,3.85
QV2M,1987,1.22,1.77,2.2,2.87,4.52,7.57,8.18,6.71,5.62,3.72,2.26,1.34,4.03
QV2M,1988,1.4,1.83,2.38,2.69,4.94,6.53,8.36,7.93,6.1,4.94,2.38,1.65,4.27
QV2M,1989,1.34,1.89,2.32,3.42,4.64,7.32,9.28,8.36,7.02,4.39,2.44,1.65,4.52
QV2M,1990,1.4,2.08,2.44,3.11,4.09,5.74,8.0,7.32,6.04,4.03,2.32,1.46,4.03
QV2M,1991,1.4,1.71,2.32,3.05,4.94,7.02,8.36,7.39,5.37,4.15,2.08,1.53,4.15
QV2M,1992,1.16,1.4,2.62,2.81,4.88,6.47,7.57,7.32,6.47,3.66,1.77,1.34,3.97
QV2M,1993,1.4,2.01,2.5,2.81,4.21,6.04,7.87,7.57,5.19,3.6,2.01,1.4,3.91
QV2M,1994,1.46,1.65,1.89,3.23,4.39,6.65,7.02,7.39,6.77,3.6,2.32,1.34,3.97
QV2M,1995,1.28,1.53,2.01,3.05,4.64,6.23,7.51,7.51,6.29,4.15,2.32,1.46,4.03
QV2M,1996,1.22,1.65,2.26,3.05,4.88,5.98,8.18,7.14,5.62,3.85,2.08,1.16,3.91
QV2M,1997,1.22,1.59,2.62,2.69,4.94,6.16,7.87,7.81,4.94,3.85,2.26,1.4,3.97
QV2M,1998,1.28,1.95,2.32,3.17,5.0,7.2,8.79,8.18,6.35,4.33,2.38,1.46,4.39
QV2M,1999,1.46,1.83,2.44,3.48,4.46,7.87,8.79,8.18,6.23,4.64,2.62,1.4,4.46
QV2M,2000,1.46,1.65,2.32,2.87,4.21,6.96,8.0,7.32,6.29,4.09,2.44,1.59,4.09
QV2M,2001,1.28,1.77,2.14,3.17,4.09,5.92,7.87,7.51,7.63,4.46,2.44,1.65,4.15
QV2M,2002,1.4,1.95,2.26,3.66,4.39,7.39,8.54,6.77,6.16,3.17,1.95,1.46,4.09
QV2M,2003,1.28,1.89,2.26,3.11,5.0,6.41,8.54,9.22,6.71,4.64,2.87,1.89,4.52
QV2M,2004,1.53,1.65,2.56,3.36,4.58,6.84,7.75,8.67,6.77,4.09,2.32,1.83,4.33
QV2M,2005,1.71,1.95,2.69,3.3,5.37,7.14,9.52,9.09,7.45,4.58,2.62,1.59,4.76
QV2M,2006,1.83,2.26,2.32,3.05,4.15,6.84,9.7,8.67,6.84,3.97,2.5,1.59,4.52
QV2M,2007,1.34,1.89,2.44,2.87,4.76,6.71,8.73,9.52,6.47,5.13,2.44,1.77,4.52
QV2M,2008,1.89,1.59,2.38,3.17,4.46,6.1,8.3,7.81,7.32,4.27,2.62,1.65,4.27
QV2M,2009,1.53,2.01,2.56,3.72,5.25,7.45,9.77,8.36,7.87,4.27,2.56,1.53,4.76
QV2M,2010,1.46,1.89,2.26,2.75,5.13,7.57,10.5,9.22,7.08,4.09,2.2,1.28,4.64
QV2M,2011,1.28,1.89,2.08,3.54,4.52,7.26,8.67,8.12,7.39,4.27,2.87,1.89,4.52
QV2M,2012,1.65,2.14,2.5,3.3,5.62,7.51,10.01,9.52,6.35,4.58,2.32,1.46,4.76
QV2M,2013,1.59,2.2,2.38,3.36,5.13,7.63,10.07,8.73,6.29,3.97,2.26,1.53,4.58
